Respondent ID,Age Group,Occupation,Problem Frequency,Current Solution,Willingness to Pay,Smartphone Usage,Daily Usage,Has Experienced Fraud,Knows Fraud Victim
1,20-25,Student,Weekly,Photo on phone,$10,Daily,6+ hours,No,Yes
2,26-30,Professional,Monthly,LinkedIn,Free preferred,Daily,4-6 hours,No,Yes
3,18-22,Athlete,Weekly,Physical folder,$15,Daily,6+ hours,Yes,Yes
4,25-30,Volunteer,Monthly,Email certificates,$5,Daily,4-6 hours,No,No
5,22-28,Student,Weekly,PDF files,$8,Daily,6+ hours,No,Yes
6,30-35,Professional,Monthly,LinkedIn,$12,Daily,4-6 hours,Yes,Yes
7,20-25,Athlete,Weekly,Photos,$20,Daily,6+ hours,No,Yes
8,28-32,Volunteer,Monthly,Physical copies,Free,Daily,4-6 hours,No,No
9,23-27,Student,Weekly,Phone photos,$10,Daily,6+ hours,No,Yes
10,26-30,Professional,Monthly,LinkedIn profile,$15,Daily,4-6 hours,Yes,Yes
11,20-24,Athlete,Weekly,Instagram posts,$12,Daily,6+ hours,No,Yes
12,25-29,Volunteer,Monthly,Email folder,Free,Daily,4-6 hours,No,No
13,22-26,Student,Weekly,Google Drive,$8,Daily,6+ hours,No,Yes
14,30-34,Professional,Monthly,LinkedIn + PDF,$18,Daily,4-6 hours,Yes,Yes
15,21-25,Athlete,Weekly,Physical certificates,$15,Daily,6+ hours,No,Yes


